model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,0,3458,301,4096,0.4,0.375,4644,1024,0.007811200000000001,14120.25975000006,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.94,reason_first,0,3533,226,4096,0.4,0.25,4644,980,0.007635200000000001,11450.179291999802,1,1,1,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,coord_first,0,3608,151,4096,0.2,0.125,4646,1024,0.0078128,10189.769875000138,0,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.94,coord_first,0,3533,226,4096,0.3,0.125,4644,1024,0.007811200000000001,10715.189207999856,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,0,3683,76,4096,0.2,0.125,4646,1024,0.0078128,10484.613291999949,0,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.94,reason_first,1,3533,226,4096,0.0,0.0,4644,1024,0.007811200000000001,10944.71920900014,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,1,3458,301,4096,0.4,0.375,4644,1024,0.007811200000000001,10555.726583000023,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.94,coord_first,1,3533,226,4096,0.3,0.125,4644,1024,0.007811200000000001,10217.429790999859,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,reason_first,0,3608,151,4096,0.3,0.125,4646,1024,0.0078128,10971.826958000065,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,coord_first,0,3683,76,4096,0.0,0.0,4646,1024,0.0078128,10601.30379200018,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,0,3458,301,4096,0.6,0.5,4644,1024,0.007811200000000001,11718.121666000116,1,1,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.94,reason_first,2,3533,226,4096,0.2,0.125,4644,1024,0.007811200000000001,9652.787374999889,0,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,1,3458,301,4096,0.5,0.5,4644,1024,0.007811200000000001,11370.907500000158,1,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,2,3458,301,4096,0.4,0.5,4644,1024,0.007811200000000001,11256.979249999858,0,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,reason_first,1,3608,151,4096,0.3,0.125,4646,1024,0.0078128,11415.74741699992,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,coord_first,1,3608,151,4096,0.2,0.0,4646,1024,0.0078128,10127.798957999858,1,1,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,2,3458,301,4096,0.4,0.5,4644,1024,0.007811200000000001,10282.942625000032,0,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,1,3683,76,4096,0.2,0.125,4646,1024,0.0078128,10705.732874999967,0,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.94,reason_first,3,3533,226,4096,0.3,0.125,4644,1024,0.007811200000000001,10213.948832999904,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,3,3458,301,4096,0.6,0.5,4644,1024,0.007811200000000001,9890.929999999798,1,1,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.94,reason_first,4,3533,226,4096,0.3,0.125,4644,979,0.0076312,10835.933166999894,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,coord_first,2,3608,151,4096,0.2,0.0,4646,1024,0.0078128,10896.521249999978,1,1,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.96,coord_first,3,3608,151,4096,0.2,0.0,4646,718,0.0065888000000000006,7722.475458999952,1,1,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.96,reason_first,2,3608,151,4096,0.3,0.125,4646,784,0.0068528,8627.803542000038,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,reason_first,3,3458,301,4096,0.0,0.0,4644,1024,0.007811200000000001,9813.345459000175,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,2,3683,76,4096,0.2,0.125,4646,1024,0.0078128,11771.698207999862,0,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,3,3683,76,4096,0.0,0.0,4646,1024,0.0078128,10704.976291999856,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,4,3458,301,4096,0.5,0.5,4644,1024,0.007811200000000001,10958.422582999901,0,1,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.94,coord_first,2,3533,226,4096,0.3,0.125,4644,873,0.0072072,9666.581999999835,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,reason_first,3,3608,151,4096,0.3,0.125,4646,1024,0.0078128,11910.298209000075,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,4,3683,76,4096,0.0,0.0,4646,1024,0.0078128,11273.08737500016,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.94,reason_first,5,3533,226,4096,0.3,0.125,4644,1024,0.007811200000000001,12075.746499999923,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,5,3458,301,4096,0.5,0.5,4644,1024,0.007811200000000001,10694.845083000018,1,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,coord_first,1,3683,76,4096,0.0,0.0,4646,882,0.0072448,10074.05970900004,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,5,3683,76,4096,0.0,0.0,4646,1024,0.0078128,10690.212416999884,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,6,3458,301,4096,0.4,0.5,4644,1024,0.007811200000000001,11528.33133299987,0,0,1,1,1,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.96,reason_first,4,3608,151,4096,0.3,0.125,4646,1024,0.0078128,10874.285332999989,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.98,coord_first,2,3683,76,4096,0.0,0.0,4646,1024,0.0078128,10782.321958000011,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.98,reason_first,6,3683,76,4096,0.0,0.0,4646,1024,0.0078128,10996.104833000118,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.96,reason_first,5,3608,151,4096,0.3,0.125,4646,1024,0.0078128,10181.133999999929,1,1,0,0,0,0,0,0,0,1
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,7,3458,301,4096,0.4,0.375,4644,1024,0.007811200000000001,9882.646625000007,1,0,1,1,1,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.96,coord_first,4,3608,151,4096,0.2,0.0,4646,1024,0.0078128,10517.67266700017,1,1,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.92,coord_first,8,3458,301,4096,0.4,0.5,4644,1024,0.007811200000000001,10133.220582999911,0,0,1,1,1,0,0,0,0,1
