model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.98,coord_first,0,3683,76,4096,0.0,0.0,4345,25,0.0004445,5108.127167000021,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,0,3533,226,4096,0.0,0.0,4351,534,0.0006487,4559.280375000071,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,0,3458,301,4096,0.3,0.375,4349,505,0.0006369000000000001,4337.774416000002,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,0,3608,151,4096,0.0,0.0,4352,71,0.00046360000000000005,1308.263874999966,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,1,3608,151,4096,0.0,0.0,4352,64,0.0004608000000000001,1183.850834000168,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,0,3608,151,4096,0.0,0.0,4352,90,0.00047120000000000007,1567.610208999895,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,1,3533,226,4096,0.0,0.0,4351,398,0.0005943000000000001,3886.624625000195,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,1,3608,151,4096,0.0,0.0,4352,84,0.00046880000000000007,1463.2182499999544,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,1,3458,301,4096,0.3,0.375,4349,428,0.0006061,3791.1586250002074,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,0,3458,301,4096,0.3,0.375,4349,563,0.0006601,4822.029749999956,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,0,3683,76,4096,0.0,0.0,4345,26,0.00044489999999999997,1047.151415999906,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,2,3608,151,4096,0.0,0.0,4352,181,0.0005076,2151.0262500000863,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,2,3458,301,4096,0.3,0.375,4349,663,0.0007001,5608.870959000114,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,1,3683,76,4096,0.0,0.0,4345,99,0.00047410000000000003,1576.8793329998516,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,0,3533,226,4096,0.0,0.0,4351,43,0.0004523,1014.2582080000011,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,1,3533,226,4096,0.0,0.0,4351,667,0.0007019000000000001,5526.343208000071,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,coord_first,1,3683,76,4096,0.0,0.0,4345,79,0.0004661,1317.8639170000679,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,1,3458,301,4096,0.4,0.5,4349,798,0.0007541000000000002,6017.28624999987,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.94,coord_first,2,3533,226,4096,0.0,0.0,4351,567,0.0006619000000000001,4436.466500000051,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,2,3458,301,4096,0.3,0.375,4349,637,0.0006897,5282.789417000004,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,2,3533,226,4096,0.0,0.0,4351,103,0.00047630000000000003,1466.7952920001426,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,2,3608,151,4096,0.0,0.0,4352,507,0.000638,4591.108333999955,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,3,3458,301,4096,0.4,0.5,4349,708,0.0007181,5364.5772500001385,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.98,reason_first,2,3683,76,4096,0.0,0.0,4345,88,0.0004697,1408.843165999997,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,coord_first,2,3683,76,4096,0.0,0.0,4345,84,0.00046810000000000005,1424.550457999885,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,coord_first,3,3683,76,4096,0.0,0.0,4345,49,0.00045410000000000003,1036.9663330000094,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,3,3533,226,4096,0.0,0.0,4351,110,0.00047910000000000004,1605.6597499998588,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,coord_first,4,3683,76,4096,0.0,0.0,4345,96,0.0004729,1428.0547500000011,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,coord_first,5,3683,76,4096,0.0,0.0,4345,45,0.0004525,994.7235409999848,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,3,3533,226,4096,0.0,0.0,4351,493,0.0006323,4379.592833000061,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,3,3608,151,4096,0.0,0.0,4352,40,0.00045120000000000007,1031.6806250000354,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,4,3533,226,4096,0.0,0.0,4351,670,0.0007031,5333.994500000017,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,4,3533,226,4096,0.2,0.125,4351,517,0.0006419,4506.526624999879,0,1,1,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,5,3533,226,4096,0.0,0.0,4351,532,0.0006479000000000001,4678.361207999842,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,3,3683,76,4096,0.0,0.0,4345,83,0.0004677,1421.6047079999043,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,4,3683,76,4096,0.2,0.125,4345,489,0.0006301,3839.041416999862,0,1,0,0,0,0,0,0,0,1
gemini-2.0-flash,google,0.94,reason_first,5,3533,226,4096,0.0,0.0,4351,126,0.0004855,1628.492083999845,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,5,3683,76,4096,0.2,0.125,4345,369,0.0005821,3459.573124999906,0,1,0,0,0,0,0,0,0,1
gemini-2.0-flash,google,0.98,coord_first,6,3683,76,4096,0.0,0.0,4345,26,0.00044489999999999997,940.9253329999956,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,6,3683,76,4096,0.0,0.0,4345,81,0.00046689999999999996,1399.9708750000082,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,3,3458,301,4096,0.3,0.375,4349,500,0.0006349000000000001,4161.5832499999215,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,6,3533,226,4096,0.0,0.0,4351,38,0.0004503,1077.1257500000502,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,4,3608,151,4096,0.0,0.0,4352,500,0.0006352,4596.397667000019,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,7,3683,76,4096,0.0,0.0,4345,170,0.0005025,2152.191458000061,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,7,3533,226,4096,0.0,0.0,4351,61,0.0004595,1260.5204999999842,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,6,3533,226,4096,0.3,0.25,4351,486,0.0006295,4132.211999999981,0,1,1,0,0,0,0,0,0,1
gemini-2.0-flash,google,0.96,reason_first,3,3608,151,4096,0.0,0.0,4352,104,0.00047680000000000004,1409.1527919999862,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,4,3608,151,4096,0.0,0.0,4352,253,0.0005364000000000001,2606.791332999819,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,5,3608,151,4096,0.0,0.0,4352,65,0.00046120000000000004,1230.7894579998901,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,coord_first,6,3608,151,4096,0.0,0.0,4352,66,0.0004616,1256.0604580000927,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,5,3608,151,4096,0.0,0.0,4352,198,0.0005144000000000001,2300.262875000044,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.98,reason_first,8,3683,76,4096,0.0,0.0,4345,33,0.0004477,1000.3962079999837,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,8,3533,226,4096,0.0,0.0,4351,77,0.00046590000000000005,1421.3634580000871,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,6,3608,151,4096,0.0,0.0,4352,89,0.00047080000000000006,1529.4747919999736,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,4,3458,301,4096,0.3,0.375,4349,768,0.0007421000000000001,6335.404124999968,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.92,coord_first,4,3458,301,4096,0.3,0.375,4349,480,0.0006269000000000001,4129.103791000034,0,0,1,1,1,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,7,3608,151,4096,0.0,0.0,4352,26,0.00044560000000000004,956.0666669999591,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,reason_first,9,3533,226,4096,0.0,0.0,4351,119,0.0004827,1672.5978340000438,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.94,coord_first,7,3533,226,4096,0.2,0.125,4351,577,0.0006659000000000001,4790.327875000003,0,1,1,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.92,reason_first,5,3458,301,4096,0.4,0.5,4349,673,0.0007041,5430.1525000000765,0,0,1,1,1,0,0,0,0,1
gemini-2.0-flash,google,0.94,reason_first,10,3533,226,4096,0.0,0.0,4351,91,0.0004715,1426.5470000000278,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.96,reason_first,8,3608,151,4096,0.2,0.125,4352,311,0.0005596,2772.9321670001355,0,1,0,0,0,0,0,0,0,1
gemini-2.0-flash,google,0.94,coord_first,8,3533,226,4096,0.0,0.0,4351,512,0.0006399000000000001,4085.818042000028,0,0,0,0,0,0,0,0,0,0
