model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.94,coord_first,0,3533,226,4096,0.5,0.625,4098,851,0.0030008,18566.914291999863,0,0,1,1,0,1,1,1,0,0
gpt-4.1-mini,openai,0.96,reason_first,0,3608,151,4096,0.2,0.125,4096,1024,0.0032768000000000003,14331.257042000061,0,1,0,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,coord_first,0,3608,151,4096,0.3,0.25,4096,1024,0.0032768000000000003,20167.511000000104,0,1,0,0,0,0,1,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,1,3533,226,4096,0.3,0.25,4098,903,0.003084,12666.066833000059,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,coord_first,1,3608,151,4096,0.5,0.5,4096,971,0.003192,17058.83433300005,0,1,1,0,0,0,1,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,0,3683,76,4096,0.5,0.625,4098,1024,0.0032776000000000003,15157.481457999893,0,0,1,0,0,1,1,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,2,3608,151,4096,0.3,0.25,4096,948,0.0031552000000000004,14294.218416999911,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.94,coord_first,2,3533,226,4096,0.3,0.375,4098,906,0.0030888,12193.885124999952,0,0,1,1,0,0,0,1,0,0
gpt-4.1-mini,openai,0.92,reason_first,0,3458,301,4096,0.5,0.625,4099,1024,0.003278,31865.546582999967,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,0,3458,301,4096,0.6,0.625,4099,1024,0.003278,13167.152042000225,0,1,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,coord_first,1,3458,301,4096,0.5,0.5,4099,1024,0.003278,12229.755292000164,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,3,3608,151,4096,0.4,0.375,4096,872,0.0030336000000000004,11097.526499999958,0,1,1,0,0,1,0,0,0,1
gpt-4.1-mini,openai,0.92,coord_first,2,3458,301,4096,0.6,0.625,4099,1024,0.003278,15716.145500000039,0,1,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.92,reason_first,1,3458,301,4096,0.5,0.625,4099,1024,0.003278,19033.025124999993,0,0,1,1,1,0,0,1,0,1
gpt-4.1-mini,openai,0.98,reason_first,1,3683,76,4096,0.5,0.5,4098,1024,0.0032776000000000003,23188.816333999966,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.94,coord_first,3,3533,226,4096,0.3,0.25,4098,965,0.0031831999999999997,12520.628041000009,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.96,reason_first,1,3608,151,4096,0.3,0.25,4096,975,0.0031984,19597.752375000025,0,1,0,0,0,0,0,1,0,1
gpt-4.1-mini,openai,0.96,coord_first,4,3608,151,4096,0.2,0.125,4096,1022,0.0032736,18813.756457999945,0,1,0,0,0,0,0,0,0,1
