benchmark,model,provider,item_id,category,proportion,order,trial_index,coordination_tokens,reasoning_tokens,task_tokens_full,task_tokens_used,task_truncated,prediction,answer,correct,score_hits,score_total,score_fraction,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,0,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1390
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,1,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1036
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,2,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1003
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,3,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,993
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,4,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1009
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,5,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1058
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,6,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1006
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,7,0,4096,767,767,False,"[""27"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1380
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,8,0,4096,767,767,False,"[""31"", ""114200"", ""18"", ""120"", ""750"", ""15"", ""24"", ""800"", ""34"", ""9""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,9,10,0.9,871,838,0.0040488,5233
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,9,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""27"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1316
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,0,0,4096,767,767,False,"[""29"", ""105200"", ""16"", ""120"", ""750"", ""15"", ""19"", ""800"", ""30"", ""9.50""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,4,10,0.4,871,85,0.0010368000000000003,1048
gsm8k_pack,claude-haiku-4-5-20251001,anthropic,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,1,0,4096,767,767,False,"[""31"", ""114200"", ""18"", ""120"", ""750"", ""15"", ""21"", ""800"", ""34"", ""9""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,9,10,0.9,871,838,0.0040488,5600
