model,provider,target_ratio,order,trial_index,task_tokens,coordination_tokens,prompt_tokens_estimated,input_tokens_used,output_tokens_used,score,cost_usd,elapsed_ms,pg_limit,redis_pubsub_rate,redis_streams_latency,redis_pubsub_latency,recommended_encryption,prosemirror_role,backend_rampup,infra_migration
gpt-4.1-mini,openai,0.0,coord_first,0,698,0,702,719,152,1.0,0.0005308000000000001,3962.6977920124773,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,1,698,0,702,719,152,1.0,0.0005308000000000001,1820.7665419904515,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,2,698,0,702,719,152,1.0,0.0005308000000000001,1961.0379170044325,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,3,698,0,702,719,152,1.0,0.0005308000000000001,2350.06166700623,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,4,698,0,702,719,152,1.0,0.0005308000000000001,2664.5370410114992,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,0,698,0,702,719,154,1.0,0.000534,2551.7671660054475,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,1,698,0,702,719,154,1.0,0.000534,1866.2074170133565,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,2,698,0,702,719,152,1.0,0.0005308000000000001,2364.0070830006152,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,3,698,0,702,719,152,1.0,0.0005308000000000001,2863.6145000054967,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,4,698,0,702,719,152,1.0,0.0005308000000000001,2352.4589159933385,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,0,698,698,1401,1414,137,1.0,0.0007848000000000001,1632.3438330146018,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,1,698,698,1401,1414,138,1.0,0.0007864000000000001,1826.3593339943327,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,2,698,698,1401,1414,143,1.0,0.0007944000000000001,2502.927791007096,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,3,698,698,1401,1414,136,1.0,0.0007832000000000001,1936.7597499804106,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,4,698,698,1401,1414,141,1.0,0.0007912,2275.4309170122724,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,0,698,698,1401,1413,143,1.0,0.000794,1944.6685829898342,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,1,698,698,1401,1413,149,1.0,0.0008036,1868.3197920036037,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,2,698,698,1401,1413,143,1.0,0.000794,2084.3671250040643,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,3,698,698,1401,1413,143,1.0,0.000794,1981.8076670053415,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,4,698,698,1401,1413,141,1.0,0.0007908,6948.6244580184575,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,0,698,2094,2797,2807,143,1.0,0.0013516,1781.0911670094356,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,1,698,2094,2797,2807,143,1.0,0.0013516,1833.6346249852795,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,2,698,2094,2797,2807,142,1.0,0.00135,1895.06291699945,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,3,698,2094,2797,2807,142,1.0,0.00135,1911.7709170095623,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,4,698,2094,2797,2807,142,1.0,0.00135,2064.9412919883616,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,0,698,2094,2797,2806,208,1.0,0.0014552,2881.073665979784,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,1,698,2094,2797,2806,141,1.0,0.001348,2785.8065420005005,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,2,698,2094,2797,2806,218,1.0,0.0014712,2357.8735410119407,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,3,698,2094,2797,2806,147,1.0,0.0013576,2679.9200829991605,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,4,698,2094,2797,2806,210,1.0,0.0014584,2863.7146670080256,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,0,698,6282,6985,6978,146,1.0,0.0030248000000000002,2271.9305839855224,1,1,1,1,1,1,1,1
