proportion,order,trial_index,orig_crdt_throughput,orig_mls_rfc,orig_three_encryption_options,orig_recommends_option_b,orig_pg_limit,orig_redis_pubsub_rate,orig_redis_streams_latency,orig_prosemirror_richtext,orig_backend_rampup,orig_infra_migration_weeks,new_crdt_throughput,new_mls_rfc,new_three_encryption_options,new_recommends_option_b,new_pg_limit,new_redis_pubsub_rate,new_redis_streams_latency,new_prosemirror_richtext,new_backend_rampup,new_infra_migration_weeks
0.25,reason_first,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1
0.25,reason_first,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,coord_first,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,coord_first,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.75,reason_first,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,coord_first,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.5,reason_first,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,coord_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.9,coord_first,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0
0.0,reason_first,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.9,coord_first,2,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.5,coord_first,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.25,reason_first,3,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.25,coord_first,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.75,reason_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.9,coord_first,3,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.25,reason_first,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
0.25,reason_first,5,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
0.0,coord_first,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,reason_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,2,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.9,reason_first,2,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0
0.5,coord_first,3,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.5,coord_first,4,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0.0,reason_first,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
