dataset,window,model,proportion,mean_output_tokens,std_output_tokens,n,mean_chars,pct_of_baseline
Gemini W=4K,4096,gemini,0.0,792.52,65.67,40,3398.4,100.0
Gemini W=4K,4096,gemini,0.25,768.35,98.46,40,3506.1,96.95
Gemini W=4K,4096,gemini,0.5,749.88,97.34,40,3425.8,94.62
Gemini W=4K,4096,gemini,0.75,817.73,74.8,40,3767.9,103.18
Gemini W=4K,4096,gemini,0.9,717.35,149.37,40,3446.0,90.52
Haiku W=4K,4096,haiku,0.0,876.1,7.94,40,3597.7,100.0
Haiku W=4K,4096,haiku,0.25,883.6,10.32,40,3707.1,100.86
Haiku W=4K,4096,haiku,0.5,893.02,9.08,40,3820.8,101.93
Haiku W=4K,4096,haiku,0.75,889.15,8.67,40,3807.5,101.49
Haiku W=4K,4096,haiku,0.9,888.1,10.99,40,3878.1,101.37
GPT W=4K,4096,gpt,0.0,982.23,56.57,40,4256.7,100.0
GPT W=4K,4096,gpt,0.25,1012.52,24.01,40,4447.9,103.09
GPT W=4K,4096,gpt,0.5,1016.2,7.32,40,4424.9,103.46
GPT W=4K,4096,gpt,0.75,1017.33,2.53,40,4435.4,103.58
GPT W=4K,4096,gpt,0.9,1005.23,31.19,40,4493.9,102.34
GPT W=4K,4096,gpt,0.92,1014.25,13.56,40,4560.2,103.26
GPT W=4K,4096,gpt,0.94,975.5,55.18,40,4386.5,99.32
GPT W=4K,4096,gpt,0.96,982.8,49.38,40,4399.6,100.06
GPT W=4K,4096,gpt,0.98,971.7,49.19,40,4324.0,98.93
Gemini W=16K,16384,gemini,0.0,813.55,74.19,20,3522.8,100.01
Gemini W=16K,16384,gemini,0.5,787.45,90.35,20,3619.9,96.8
Gemini W=16K,16384,gemini,0.9,815.35,122.49,20,3739.2,100.23
Gemini W=16K,16384,gemini,0.97,701.65,89.01,20,3301.2,86.25
Gemini W=16K,16384,gemini,0.975,713.65,81.3,20,3411.0,87.73
Gemini W=16K,16384,gemini,0.98,609.95,80.56,20,2918.6,74.98
Gemini W=16K,16384,gemini,0.985,227.1,194.92,20,1123.2,27.92
Gemini W=16K,16384,gemini,0.99,102.95,81.13,20,541.4,12.66
Haiku W=16K,16384,haiku,0.0,877.85,11.16,20,3603.9,99.99
Haiku W=16K,16384,haiku,0.5,882.5,7.66,20,3653.3,100.52
Haiku W=16K,16384,haiku,0.9,878.85,7.77,20,3641.4,100.11
Haiku W=16K,16384,haiku,0.97,888.15,9.59,20,3787.2,101.17
Haiku W=16K,16384,haiku,0.975,893.7,11.56,20,3894.3,101.8
Haiku W=16K,16384,haiku,0.98,893.9,9.82,20,3962.8,101.82
Haiku W=16K,16384,haiku,0.985,904.4,11.03,20,4063.0,103.02
Haiku W=16K,16384,haiku,0.99,902.15,13.8,20,4064.4,102.76
GPT W=16K,16384,gpt,0.0,1011.4,15.18,20,4392.9,100.0
GPT W=16K,16384,gpt,0.5,1017.6,2.52,20,4410.2,100.61
GPT W=16K,16384,gpt,0.9,1016.65,1.93,20,4404.1,100.52
GPT W=16K,16384,gpt,0.97,1019.3,1.65,20,4454.9,100.78
GPT W=16K,16384,gpt,0.975,1012.85,17.04,20,4524.0,100.14
GPT W=16K,16384,gpt,0.98,1012.9,16.83,20,4558.4,100.15
GPT W=16K,16384,gpt,0.985,1014.8,12.16,20,4524.9,100.34
GPT W=16K,16384,gpt,0.99,995.95,40.81,20,4467.1,98.47
