model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.5,coord_first,0,1879,1880,4096,0.7,0.875,4403,753,0.0007415,7033.253583998885,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,coord_first,0,939,2820,4096,0.8,1.0,4450,686,0.0007194000000000001,5749.008375001722,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,1,1879,1880,4096,0.8,1.0,4403,891,0.0007967,7168.563249997533,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,0,0,3759,4096,0.8,1.0,4481,779,0.0007597000000000001,6142.129040999862,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,coord_first,0,2819,940,4096,0.7,0.875,4381,811,0.0007625,6748.061499998585,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,0,0,3759,4096,0.8,1.0,4481,930,0.0008201,7852.597041997797,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,2,1879,1880,4096,0.8,1.0,4403,684,0.0007139000000000001,5217.608790997474,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,1,0,3759,4096,0.8,1.0,4481,934,0.0008217000000000001,7320.8731670019915,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,3,1879,1880,4096,0.8,1.0,4403,686,0.0007147000000000001,5304.025333000027,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,4,1879,1880,4096,0.9,1.0,4403,733,0.0007335,5890.070625002409,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,1,0,3759,4096,0.8,1.0,4481,825,0.0007781,6589.817457999743,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,coord_first,0,3383,376,4096,0.5,0.625,4362,615,0.0006822,5324.658207999164,0,0,1,1,1,1,1,0,0,0
gemini-2.0-flash,google,0.0,coord_first,2,0,3759,4096,0.9,1.0,4481,720,0.0007361000000000001,5667.587375002768,0,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,0,939,2820,4096,0.8,1.0,4451,731,0.0007375,5795.465625000361,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,1,939,2820,4096,0.8,1.0,4451,730,0.0007371,5656.23054200114,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,coord_first,1,2819,940,4096,0.7,0.875,4381,936,0.0008125,7350.814417000947,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,reason_first,0,3383,376,4096,0.6,0.75,4362,1023,0.0008454000000000001,7870.127833000879,0,0,1,1,1,1,1,0,0,1
gemini-2.0-flash,google,0.25,coord_first,1,939,2820,4096,0.8,1.0,4450,789,0.0007606000000000001,6353.315000000293,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,3,0,3759,4096,0.8,1.0,4481,893,0.0008053000000000001,7118.818375001865,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,coord_first,2,939,2820,4096,0.8,1.0,4450,756,0.0007474000000000001,6068.217915999412,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,coord_first,1,3383,376,4096,0.5,0.625,4362,632,0.000689,5122.883584001102,0,0,1,1,1,1,1,0,0,0
gemini-2.0-flash,google,0.0,reason_first,2,0,3759,4096,0.8,1.0,4481,852,0.0007889,6376.116957999329,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,coord_first,2,3383,376,4096,0.6,0.625,4362,760,0.0007402,5969.268542001373,0,1,1,1,1,1,1,0,0,0
