model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,0,904,2712,4096,1.0,1.0,4555,909,0.00728,5328.875916995457,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,0,2712,904,4096,1.0,1.0,4620,945,0.007476,5606.3234159955755,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,0,0,3616,4096,1.0,1.0,4517,1024,0.0077096000000000005,4667.532667001069,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,0,1808,1808,4096,1.0,1.0,4581,897,0.0072528,5711.423916000058,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,0,0,3616,4096,1.0,1.0,4517,913,0.0072656000000000005,5093.350458999339,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,0,904,2712,4096,1.0,1.0,4555,1024,0.00774,5013.615582996863,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,1,1808,1808,4096,1.0,1.0,4581,921,0.0073488,5118.526791004115,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,0,3254,362,4096,1.0,1.0,4640,915,0.007372,5078.541208000388,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,1,0,3616,4096,1.0,1.0,4517,974,0.0075096,4800.99679200066,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,1,3254,362,4096,1.0,1.0,4640,928,0.007424,5767.436916001316,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,1,904,2712,4096,1.0,1.0,4555,938,0.007396,5407.547499999055,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,0,2712,904,4096,1.0,1.0,4620,952,0.007504,9951.748709005187,1,1,1,1,1,1,1,1,1,1
