model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,0,2793,931,4096,0.8,0.8,4607,512,0.0057336,7561.342665998382,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,0,1862,1862,4096,0.0,0.0,4497,539,0.0057536,5751.747792004608,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,0,0,3724,4096,0.8,0.8,4247,421,0.0050816,31914.99816700525,1,1,1,0,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,0,931,2793,4096,0.9,0.9,4370,508,0.005528,5254.3743749993155,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,0,931,2793,4096,0.8,0.8,4370,525,0.005596,6579.362125004991,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,0,3351,373,4096,0.0,0.0,4693,636,0.0062984,9191.763916998752,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,1,0,3724,4096,0.9,0.9,4247,418,0.0050696000000000005,3687.5111249973997,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,1,2793,931,4096,0.9,0.9,4607,522,0.0057736,6248.4620829927735,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,0,2793,931,4096,0.0,0.0,4607,489,0.0056416,6245.944124995731,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,1,931,2793,4096,0.7,0.7,4370,501,0.0055,5228.661707995343,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,2,2793,931,4096,0.7,0.7,4607,550,0.0058856,6878.656540997326,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,1,1862,1862,4096,0.8,0.8,4497,519,0.0056736,5439.8114169889595,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,2,0,3724,4096,0.9,0.9,4247,410,0.005037600000000001,3708.7099170021247,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,0,0,3724,4096,0.9,0.9,4247,407,0.005025600000000001,3578.221042000223,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,1,3351,373,4096,0.0,0.0,4693,341,0.0051183999999999995,5130.368916987209,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,2,3351,373,4096,0.0,0.0,4693,381,0.0052784,5257.179124993854,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,1,2793,931,4096,0.9,0.9,4607,477,0.005593600000000001,5536.13895799208,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,2,931,2793,4096,0.0,0.0,4370,596,0.00588,6653.995249987929,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,2,1862,1862,4096,0.7,0.7,4497,523,0.0056896,6117.016584001249,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,0,3351,373,4096,0.8,0.8,4693,507,0.0057824,5694.171374998405,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,3,0,3724,4096,0.9,0.9,4247,402,0.005005600000000001,3580.061166008818,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,3,931,2793,4096,0.8,0.8,4370,459,0.005332,5314.262874991982,1,1,1,1,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,3,1862,1862,4096,0.0,0.0,4497,408,0.0052296,5125.097208001534,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,4,0,3724,4096,0.9,0.9,4247,455,0.0052176,5505.984458999592,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,2,2793,931,4096,0.0,0.0,4607,546,0.0058696,6296.193916001357,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,3,2793,931,4096,0.9,0.9,4607,553,0.0058976,6607.358042005217,1,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,3,3351,373,4096,0.0,0.0,4693,575,0.0060544,6811.977584002307,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,0,1862,1862,4096,0.9,0.9,4497,530,0.005717600000000001,62873.1839999964,1,1,1,1,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,4,3351,373,4096,0.8,0.8,4693,529,0.0058704,6495.264791999944,1,1,1,0,1,0,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,4,1862,1862,4096,0.0,0.0,4497,408,0.0052296,5231.1178329982795,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,5,1862,1862,4096,0.7,0.7,4497,526,0.0057016,6707.919124994078,1,1,1,0,1,0,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,1,0,3724,4096,0.9,0.9,4247,410,0.005037600000000001,3905.9712090092944,1,1,1,0,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,3,2793,931,4096,0.0,0.0,4607,505,0.005705600000000001,6257.676667009946,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,4,931,2793,4096,0.8,0.8,4370,471,0.00538,5050.319874993875,1,1,1,1,1,0,1,1,1,0
