model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,kafka_streaming,flink_ops,spark_sla,retention_compliance,s3_tiering,build_vs_buy,soc2_compat,onboarding_screens,progressive_disclosure,365day_cost
gemini-2.0-flash,google,0.25,reason_first,0,931,2793,4096,0.9,0.9,4220,75,0.000452,2899.271125000041,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,reason_first,0,1862,1862,4096,0.9,0.9,4316,70,0.0004596,1159.2632499998672,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,reason_first,0,2793,931,4096,0.9,0.9,4408,70,0.0004688,1201.298917000031,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,reason_first,0,3351,373,4096,0.9,0.9,4481,70,0.0004761,1116.5935000001355,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,coord_first,0,3351,373,4096,0.9,0.9,4481,70,0.0004761,1137.2993340000903,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,coord_first,0,931,2793,4096,0.9,0.9,4220,75,0.000452,1250.3873749999457,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,reason_first,1,1862,1862,4096,0.9,0.9,4316,70,0.0004596,1186.284624999871,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,reason_first,1,2793,931,4096,0.9,0.9,4408,70,0.0004688,1195.650999999998,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,0,0,3724,4096,0.9,0.9,4129,70,0.00044090000000000004,1224.9677919999158,1,1,1,0,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,coord_first,1,3351,373,4096,0.9,0.9,4481,70,0.0004761,1357.5271249999332,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,reason_first,2,1862,1862,4096,0.9,0.9,4316,70,0.0004596,1081.5707079998447,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,reason_first,1,931,2793,4096,0.9,0.9,4220,75,0.000452,1222.433207999984,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,coord_first,2,3351,373,4096,0.9,0.9,4481,70,0.0004761,1165.60879199983,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,coord_first,0,2793,931,4096,0.9,0.9,4408,70,0.0004688,1174.195999999938,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,reason_first,2,931,2793,4096,0.9,0.9,4220,70,0.00045,1140.4645840000285,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,reason_first,3,931,2793,4096,0.9,0.9,4220,70,0.00045,1135.5672909999157,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,reason_first,3,1862,1862,4096,0.9,0.9,4316,70,0.0004596,1130.7842500000334,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,coord_first,1,2793,931,4096,0.9,0.9,4408,70,0.0004688,1182.941165999864,1,1,1,1,1,1,1,1,1,0
