model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.9,reason_first,0,14442,1605,16384,0.7,0.875,17505,1024,0.0021601,8734.311416999844,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.985,reason_first,0,15806,241,16384,0.2,0.25,17459,277,0.0018567,3067.369291999057,0,0,1,0,0,0,0,0,0,1
gemini-2.0-flash,google,0.5,reason_first,0,8023,8024,16384,0.8,1.0,17690,976,0.0021594,8396.312499997293,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.97,coord_first,0,15565,482,16384,0.8,0.875,17466,850,0.0020866000000000005,7499.2346670005645,0,1,1,1,1,1,1,1,0,1
gemini-2.0-flash,google,0.99,reason_first,0,15886,161,16384,0.0,0.0,17458,91,0.0017822000000000003,1877.5079170009121,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.0,coord_first,0,0,16047,16384,0.8,1.0,17959,902,0.0021567,7547.8293749984,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.99,reason_first,1,15886,161,16384,0.0,0.0,17458,50,0.0017658,1480.349000001297,0,0,0,0,0,0,0,0,0,0
gemini-2.0-flash,google,0.9,coord_first,0,14442,1605,16384,0.7,0.875,17505,685,0.0020245,5919.6527499989315,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,coord_first,0,8023,8024,16384,0.8,1.0,17690,796,0.0020874,6338.799959001335,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.975,reason_first,0,15645,402,16384,0.6,0.75,17467,700,0.0020267,5578.199125000538,0,0,1,1,1,1,1,0,0,1
gemini-2.0-flash,google,0.9,reason_first,1,14442,1605,16384,0.7,0.875,17505,1024,0.0021601,8931.245416999445,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,coord_first,1,8023,8024,16384,0.8,1.0,17690,990,0.002165,7466.883416997007,0,0,1,1,1,1,1,1,1,1
