model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.5-flash,google,0.0,coord_first,0,0,32431,32768,0.8,1.0,35933,1488,0.0144999,8069.724417000543,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,1,0,32431,32768,0.8,1.0,35933,1447,0.0143974,8167.246875000274,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,2,0,32431,32768,0.8,1.0,35933,1468,0.0144499,8367.791250000664,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,3,0,32431,32768,0.8,1.0,35933,1576,0.0147199,8674.924208000448,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,4,0,32431,32768,0.8,1.0,35933,1436,0.0143699,7612.745250000444,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,5,0,32431,32768,0.8,1.0,35933,1653,0.0149124,9793.933291999565,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,6,0,32431,32768,1.0,1.0,35933,1196,0.0137699,8148.404207999192,1,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,7,0,32431,32768,0.8,1.0,35933,1461,0.0144324,9582.660250000117,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,8,0,32431,32768,0.8,1.0,35933,1389,0.0142524,8079.013624999789,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,coord_first,9,0,32431,32768,0.8,1.0,35933,1460,0.014429899999999999,8180.227083999853,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,0,0,32431,32768,0.8,1.0,35933,1400,0.0142799,8532.509167000171,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,1,0,32431,32768,0.8,1.0,35933,1487,0.014497399999999999,8925.626000000193,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,2,0,32431,32768,0.8,1.0,35933,1565,0.0146924,9721.437665999474,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,3,0,32431,32768,0.8,1.0,35933,1028,0.0133499,6404.20958300092,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,4,0,32431,32768,0.9,1.0,35933,1301,0.0140324,8204.17179099968,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,5,0,32431,32768,0.8,1.0,35933,1390,0.0142549,8839.654041999893,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,6,0,32431,32768,0.8,1.0,35933,1474,0.0144649,9905.550708001101,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,7,0,32431,32768,0.9,1.0,35933,1121,0.0135824,6889.554916000634,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,8,0,32431,32768,0.8,1.0,35933,1479,0.0144774,10160.82649999953,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.0,reason_first,9,0,32431,32768,0.8,1.0,35933,1351,0.014157399999999999,7225.258374999612,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,0,8107,24324,32768,0.8,1.0,35654,1999,0.015693699999999998,11831.499457999598,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,1,8107,24324,32768,0.9,1.0,35654,1692,0.014926199999999999,11170.898833001047,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,2,8107,24324,32768,0.8,1.0,35654,1610,0.014721199999999999,9770.74524999989,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,3,8107,24324,32768,0.8,1.0,35654,1730,0.015021199999999998,11026.279415998943,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,4,8107,24324,32768,0.9,1.0,35654,1660,0.014846199999999999,10766.299666000123,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,5,8107,24324,32768,0.8,1.0,35654,1763,0.0151037,10875.263709000137,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,6,8107,24324,32768,0.9,1.0,35654,1842,0.0153012,12441.01687500006,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,7,8107,24324,32768,0.9,1.0,35654,1738,0.0150412,11475.427375000436,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,8,8107,24324,32768,0.9,1.0,35654,1985,0.015658699999999998,12469.550666999567,0,1,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,coord_first,9,8107,24324,32768,0.8,1.0,35654,1520,0.014496199999999999,9423.216666998997,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,0,8107,24324,32768,0.8,1.0,35653,1759,0.0150934,10207.251750000069,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,1,8107,24324,32768,0.8,1.0,35653,1654,0.0148309,12387.0469579997,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,2,8107,24324,32768,0.8,1.0,35653,1633,0.014778399999999999,10695.136792000994,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,3,8107,24324,32768,0.8,1.0,35653,1902,0.0154509,12791.200499999832,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,4,8107,24324,32768,0.8,1.0,35653,1645,0.0148084,10208.292625000468,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,5,8107,24324,32768,0.9,1.0,35653,1779,0.0151434,10297.648207999373,1,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,6,8107,24324,32768,0.8,1.0,35653,1871,0.015373399999999999,10710.000167000544,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,7,8107,24324,32768,0.8,1.0,35653,1802,0.0152009,10743.814874998861,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,8,8107,24324,32768,0.8,1.0,35653,1405,0.0142084,8569.157917001576,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.25,reason_first,9,8107,24324,32768,0.8,1.0,35653,1582,0.0146509,9237.295666998762,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,0,16215,16216,32768,0.8,1.0,35424,1940,0.015477199999999998,11147.442542000135,0,0,1,1,1,1,1,1,1,1
gemini-2.5-flash,google,0.5,coord_first,1,16215,16216,32768,0.9,1.0,35424,1819,0.0151747,11000.868291999723,0,1,1,1,1,1,1,1,1,1
