model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,0,0,32431,32768,0.9,1.0,39095,1024,0.035372,9105.996000000005,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,1,0,32431,32768,0.7,0.875,39095,1024,0.035372,9904.820457999904,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,2,0,32431,32768,0.8,1.0,39095,1023,0.035368,11346.672125000168,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,3,0,32431,32768,0.8,1.0,39095,1024,0.035372,11689.225999999962,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,4,0,32431,32768,0.8,1.0,39095,1024,0.035372,9793.368958000201,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,5,0,32431,32768,0.7,0.875,39095,1024,0.035372,8903.883791999988,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,6,0,32431,32768,0.9,1.0,39095,1024,0.035372,9600.237792000144,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,7,0,32431,32768,0.7,0.875,39095,1024,0.035372,10377.11441700003,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,8,0,32431,32768,0.9,1.0,39095,1024,0.035372,9176.792959000068,1,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,9,0,32431,32768,0.7,0.875,39095,1024,0.035372,8803.625874999852,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,0,0,32431,32768,0.7,0.875,39095,1024,0.035372,9433.463458999995,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,1,0,32431,32768,0.9,0.875,39095,1024,0.035372,9568.469583000024,1,1,1,1,0,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,2,0,32431,32768,0.8,1.0,39095,1023,0.035368,9096.434999999929,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,3,0,32431,32768,0.7,0.875,39095,1024,0.035372,15040.413374999844,0,0,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,4,0,32431,32768,1.0,1.0,39095,1024,0.035372,9442.621916000007,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,5,0,32431,32768,0.8,0.875,39095,1024,0.035372,10076.713374999827,1,0,1,1,0,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,6,0,32431,32768,0.9,1.0,39095,1024,0.035372,9826.64724999995,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,7,0,32431,32768,0.8,1.0,39095,1024,0.035372,9966.704041999947,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,8,0,32431,32768,0.8,1.0,39095,1024,0.035372,8850.208917000145,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,9,0,32431,32768,0.0,0.0,39095,567,0.033544,6743.918832999952,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,0,8107,24324,32768,0.8,1.0,38595,1024,0.034972,10200.51883300016,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,1,8107,24324,32768,0.9,1.0,38595,1024,0.034972,9445.145665999917,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,2,8107,24324,32768,0.8,0.875,38595,1024,0.034972,9482.425958000022,0,1,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,3,8107,24324,32768,0.9,0.875,38595,1024,0.034972,9851.52866600015,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,4,8107,24324,32768,1.0,1.0,38595,1024,0.034972,9489.633499999854,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,5,8107,24324,32768,0.9,1.0,38595,1024,0.034972,9017.348416000004,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,6,8107,24324,32768,0.9,1.0,38595,1024,0.034972,9844.19862499999,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,7,8107,24324,32768,1.0,1.0,38595,1024,0.034972,10501.180249999834,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,8,8107,24324,32768,1.0,1.0,38595,1024,0.034972,13507.26095899995,1,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,9,8107,24324,32768,0.9,0.875,38595,1024,0.034972,9254.969915999936,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,0,8107,24324,32768,0.9,1.0,38595,1024,0.034972,11294.624916000203,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,1,8107,24324,32768,0.9,0.875,38595,1024,0.034972,11403.895582999894,1,1,1,1,1,1,1,1,0,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,2,8107,24324,32768,0.7,0.75,38595,1024,0.034972,10748.747375000221,0,1,1,1,1,0,0,1,1,1
