model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,0,1963,5892,8192,0.7,0.875,9637,1024,0.011805600000000001,12061.981208000134,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.75,reason_first,0,5891,1964,8192,0.8,1.0,9398,1024,0.011614400000000002,12320.685665999918,0,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,0,5891,1964,8192,0.9,1.0,9398,1024,0.011614400000000002,11289.278292000063,1,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,1,1963,5892,8192,0.7,0.875,9637,1024,0.011805600000000001,8960.689167000055,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,0,7069,786,8192,0.9,0.875,9325,1024,0.011556,11954.889374999993,1,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,0,3927,3928,8192,0.7,0.75,9519,1024,0.011711200000000001,9643.548749999809,1,0,1,1,1,1,1,0,0,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,0,7069,786,8192,0.6,0.75,9325,1024,0.011556,11290.129915999842,0,0,1,1,0,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.75,coord_first,1,5891,1964,8192,0.7,0.875,9398,1024,0.011614400000000002,9287.34766599996,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,0,1963,5892,8192,0.9,1.0,9637,1024,0.011805600000000001,10886.863749999975,1,0,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,1,1963,5892,8192,0.8,0.75,9637,1024,0.011805600000000001,11274.417374999985,1,1,1,1,1,1,1,0,0,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,1,7069,786,8192,0.6,0.75,9325,1024,0.011556,11532.986665999942,0,0,1,1,1,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,1,7069,786,8192,0.9,1.0,9325,1024,0.011556,9460.075791999998,0,1,1,1,1,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.9,coord_first,2,7069,786,8192,0.7,0.875,9325,1024,0.011556,10960.465584000076,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.5,reason_first,0,3927,3928,8192,0.7,0.875,9518,1024,0.011710400000000001,12413.47183300013,0,0,1,1,1,1,1,1,1,0
claude-haiku-4-5-20251001,anthropic,0.0,coord_first,0,0,7855,8192,0.7,0.875,9759,1024,0.011903200000000001,10014.865124999915,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,0,0,7855,8192,0.8,0.875,9759,1024,0.011903200000000001,9108.708125000021,0,1,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,2,1963,5892,8192,0.6,0.75,9637,1024,0.011805600000000001,10592.185124999787,0,0,1,1,1,1,1,0,1,0
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,2,1963,5892,8192,0.8,0.875,9637,1024,0.011805600000000001,10755.342165999991,1,0,1,1,1,1,1,1,0,1
claude-haiku-4-5-20251001,anthropic,0.5,coord_first,1,3927,3928,8192,0.8,0.875,9519,1024,0.011711200000000001,11002.19274999995,0,1,1,1,0,1,1,1,1,1
claude-haiku-4-5-20251001,anthropic,0.25,coord_first,3,1963,5892,8192,0.7,0.875,9637,1024,0.011805600000000001,9211.301584000012,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.25,reason_first,3,1963,5892,8192,0.7,0.875,9637,1024,0.011805600000000001,10439.610874999971,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.0,reason_first,1,0,7855,8192,0.7,0.875,9759,1024,0.011903200000000001,9408.422125000016,0,0,1,1,1,1,1,0,1,1
claude-haiku-4-5-20251001,anthropic,0.9,reason_first,2,7069,786,8192,0.7,0.875,9325,1024,0.011556,11442.988958000115,0,0,1,1,1,1,1,0,1,1
