model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.25,coord_first,0,1963,5892,8192,0.8,1.0,8239,1024,0.004934,20358.48254199982,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,0,1963,5892,8192,0.8,1.0,8239,1024,0.004934,14234.14200000002,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,0,7069,786,8192,0.8,1.0,8186,1024,0.0049128,16464.88612500002,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,1,7069,786,8192,0.8,1.0,8186,1024,0.0049128,14103.973792000033,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,0,0,7855,8192,0.8,1.0,8257,1024,0.004941200000000001,16326.282499999934,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,0,5891,1964,8192,0.8,1.0,8196,1024,0.0049168,19479.272833000097,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,1,1963,5892,8192,0.9,1.0,8239,1024,0.004934,14486.61508300006,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,0,5891,1964,8192,0.9,1.0,8195,1024,0.0049164,17486.498374999883,0,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,0,0,7855,8192,0.8,1.0,8257,1024,0.004941200000000001,22966.37704199998,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,1,5891,1964,8192,0.8,1.0,8196,1024,0.0049168,17792.011457999935,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,coord_first,0,7069,786,8192,0.8,1.0,8186,1024,0.0049128,13418.540584000084,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,2,5891,1964,8192,0.7,0.875,8196,1024,0.0049168,21977.324041999964,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,1,0,7855,8192,0.8,1.0,8257,1024,0.004941200000000001,16887.907000000043,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,coord_first,1,5891,1964,8192,0.8,1.0,8195,1024,0.0049164,20745.9214590001,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,3,5891,1964,8192,0.8,1.0,8196,1024,0.0049168,20469.181083999956,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,2,1963,5892,8192,0.8,1.0,8239,1024,0.004934,15086.346166999874,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,0,3927,3928,8192,0.7,0.875,8219,1024,0.004926,15599.628000000166,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,1,1963,5892,8192,0.8,1.0,8239,1024,0.004934,14543.584249999867,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,1,3927,3928,8192,0.8,1.0,8219,1024,0.004926,15738.339750000023,0,0,1,1,1,1,1,1,1,1
